cuisineName,tagName
American,pretzel
American,brisket
American,bagel
American,pretzels
American,american goulash
American,new england pizza
American,oyster stew
American,new england pot roast
American,parker house rolls
American,steak bomb
American,new haven pizza
Fast Food,italian sandwich
Fast Food,sub sandwich
Fast Food,subway
Fast Food,subway sandwich
Fast Food,submarine sandwich
American,baked beans with pork
American,tourtiere
Fast Food,poutine
American,corn chowder
American,rhode island clam chowder
American,clam chowder
American,clam cakes
American,quahogs
American,roast beef sandwich
American,maine italian sandwich
American,macaroni and cheese
American,cheeseburger
American,eggs benedict
American,candied yam
Continental,chicken a la king
American,chicken divan
American,reuben sandwich vichyssoise
American,steak diane
American,po' boy
American,muffuletta sandwiches
American,oysters rockefeller
American,oysters bienville
American,pompano en papillote
American,shrimp gumbo
American,gumbo
American,eggs sardou
American,maque choux
American,oysters en brochette
American,pistolette
American,shrimp creole
American,philadelphia cheesesteak
American,hoagie
American,steak sandwich
American,chicago style pizza
American,chicken vesuvio
Italian,giardiniera
American,shrimp dejonghe
American,maxwell street polish
American,francheezie
Continental,crab cake
Continental,crabcakes
Continental,crab cakes
Continental,soft crab sandwiches
American,pit beef
American,stone fence
American,philadelphia pepper pot
American,snapper soup
American,barberton chicken
American,beer can chicken
American,vermonter sandwich
American,new york style pastrami
American,irish potato candy
American,lobster newburg
American,waldorf salad
American,cajun
American,louisiana creole
American,native american
American,new mexican
American,pennsylvania dutch
Arabian,palestinian
Arabian,palestinia
Arabian,hummus
Arabian,humus
Arabian,humuss
Arabian,hummuss
Arabian,humous
Arabian,kabsa
Arabian,mahmous
Arabian,mandi
Arabian,mansaf
Arabian,quzi
Arabian,itriya
Arabian,rishta
Arabian,tutmaj
Arabian,salma noodles
Arabian,marqas
Arabian,tajine
Arabian,bastilla
Arabian,maraqa
Arabian,bukhari rice
Arabian,masli
Arabian,fi ga'atah harees
Arabian,jireesh
Arabian,jareesh. machboos
Arabian,mahyawa
Arabian,mumawwash
Arabian,quozi
Arabian,al mudalal
Arabian,al jabab bread
Arabian,bathieth
Arabian,jasheed
Arabian,khanfroush
Arabian,maqluba
Arabian,thareed
Arabian,tashreeb
Arabian,taghrib
Arabian,gabout
Arabian,mashkhool
Arabian,maglooba
Arabian,margoog
Arabian,muaddas
Arabian,mutabbaq samak
Arabian,mashuai
Arabian,shuwaa
Arabian,sakhana
Arabian,albadhinajan mae tawarikh
Arabian,qatari machbous
Arabian,qatari machboos
Arabian,ghuzi
Arabian,ghoozi
Arabian,madrouba
Arabian,mutabbaq
Arabian,oz bukhari
Arabian,madfoon
Arabian,jalamah
Arabian,saleeg
Arabian,fahsa
Arabian,shakshouka
Arabian,fattah
Arabian,haneeth
Arabian,jachnun
Arabian,komroh
Arabian,samak mofa
Arabian,shafut
Arabian,shawiyah
Arabian,zurbiyan
Arabian,nasuf
Arabian,matit
Arabian,musakhan
Arabian,mujaddara
Arabian,mullah
Arabian,shahan ful
Arabian,bamya
Arabian,rechta
Arabian,wheat salad
Arabian,arab salad
Arabian,baba ghanoush
Arabian,blunkett
Arabian,fattoush
Arabian,ful medames
Arabian,malfouf
Arabian,masmouta
Arabian,matbukha
Arabian,mechouia
Arabian,palestinian salad
Arabian,raheb
Arabian,rubiyan
Arabian,tabbouleh
Arabian,tzatziki
Arabian,ummak huriyya
Arabian,zaalouk
Arabian,sahawiq
Arabian,baharat
Arabian,ras el hanout
Arabian,za'atar
Arabian,harissa
Arabian,hawaji
Arabian,labaneh
Arabian,tahini
Arabian,holba
Arabian,hulba
Arabian,jameed
Arabian,potato tadig
Arabian,khoresh e qure
Arabian,chenje
Arabian,khoresh e bademjan
Arabian,khoresh e fesenjan
Arabian,khoresh e qeyme
Arabian,khoresh e karafs
Arabian,khoresh e alu
Arabian,khoresh e alu esfenaj
Arabian,khoresh e qarch
Arabian,baqala qatoq
Arabian,dizi
Arabian,piti
Bakery,zaban
Arabian,pache
Arabian,khash
Arabian,pirashki
Arabian,sosis bandari
Arabian,nargesi
Arabian,sirabij
Arabian,gondi
Arabian,joshpara
Arabian,shenitsel
Arabian,jaqur baqur
Arabian,tahchin
Arabian,torshi
Arabian,salad shirazi
Arabian,borani
Arabian,zeytun parvarde
Arabian,mirza qasemi
Arabian,kashk e bademjan
Arabian,tavuk
Arabian,pudr e qure
Arabian,advieh
Desserts,chashni
Arabian,golpar
Arabian,elettaria
Arabian,shevid
Arabian,mahleb
Arabian,limu amani
Arabian,arde
Arabian,delal sauce
Arabian,gerde
Arabian,domsia
Arabian,lenjan
